CensusSection;HouseholdIncome2016
2807914052;27246
2807914053;26748
2807914054;26070
2807914055;29164
2807914056;28910
2807914057;26677
2807914058;29992
2807914059;26955
2807914060;33195
2807914061;38569
2807914062;30046
2807914063;33105
2807914064;28042
2807914065;32338
2807914066;23048
2807914067;21863
2807914068;23968
2807914069;30446
2807914070;23699
2807914071;25699
2807914072;31922
2807914073;31089
2807914074;32133
2807914075;27689
2807914076;33151
2807914077;30673
2807914078;28393
2807914079;44622
2807914080;59549
2807914081;51836
2807914082;22496
2807914083;27950
2807914084;43538
2807914085;60689
2807914086;33204
2807914087;57754
2807914088;47412
2807914089;41812
2807914090;38509
2807914091;52181
2807914092;36885
2807914093;46607
2807915001;37559
2807915002;29800
2807915003;28750
2807915005;31963
2807915006;28800
2807915008;27815
2807915009;23716
2807915010;22984
2807915011;23484
2807915012;28880
2807915013;26415
2807915014;26245
2807915015;24531
2807915016;22758
2807915017;26649
2807915018;28577
2807915019;24606
2807915020;24540
2807915021;23149
2807915022;24226
2807915023;27887
2807915024;29123
2807915025;33253
2807915026;26204
2807915027;32063
2807915028;32720
2807915029;28073
2807915030;38432
2807915031;33821
2807915032;35112
2807915033;30606
2807915034;30139
2807915035;32554
2807915036;30344
2807915037;27653
2807915038;28293
2807915039;27361
2807915040;26401
2807915041;31003
2807915042;32691
2807915043;29435
2807915044;31731
2807915045;31139
2807915046;32301
2807915047;28861
2807915048;30778
2807915049;25400
2807915050;28159
2807915051;29168
2807915052;26787
2807915053;25537
2807915054;25046
2807915056;27175
2807915057;27625
2807915058;24751
2807915059;24794
2807915060;24581
2807915061;28799
2807915062;32795
2807915065;39923
2807915066;32901
2807915067;34363
2807915068;38171
2807915069;46546
2807915070;41622
2807915071;21693
2807915073;24572
2807915074;26788
2807915075;28195
2807915076;25793
2807915077;30597
2807915078;22640
2807915079;25325
2807915080;21143
2807915081;23612
2807915082;34882
2807915083;27432
2807915084;28453
2807915085;30160
2807915086;33708
2807915087;22366
2807915088;23285
2807915089;28216
2807915090;37317
2807915092;44697
2807915093;32446
2807915094;32453
2807915095;25127
2807915096;30208
2807915097;29441
2807915098;26723
2807915099;29511
2807915100;27533
2807915101;28742
2807915102;28362
2807915103;28512
2807915104;25892
2807915105;27510
2807915106;30160
2807915108;31106
2807915109;33718
2807915110;26650
2807915111;32888
2807915112;32291
2807915113;30474
2807915114;30542
2807915115;34147
2807915116;31516
2807915117;26706
2807915118;27252
2807915119;26215
2807915120;26124
2807915121;27338
2807915122;33576
2807915123;38823
2807915124;31766
2807915125;54662
2807915126;29849
2807915127;42221
2807915128;51919
2807915129;36688
2807915130;31154
2807915131;30884
2807915132;36644
2807915133;31852
2807915134;36049
2807915135;31476
2807915136;31221
2807915138;25286
2807915139;24975
2807915140;24305
2807915141;35608
2807915142;56257
2807915143;67157
2807915144;66434
2807915145;53290
2807915146;55477
2807915147;77415
2807915148;37717
2807915149;48660
2807915150;77122
2807915151;59914
2807915153;57498
2807915154;43910
2807915155;62967
2807915156;41488
2807915157;51151
2807915158;69642
2807915159;71758
2807915160;69237
2807915161;80004
2807915162;75345
2807915163;62989
2807915164;62533
2807915165;73904
2807915166;61939
2807915167;78676
2807915168;69693
2807915170;77709
2807915171;34307
2807915172;67473
2807915173;66599
2807915174;70196
2807915175;44389
2807915176;51689
2807915177;37030
2807915178;56620
2807915179;40465
2807915180;57347
2807915181;47251
2807915182;58041
2807916001;89015
2807916002;89015
2807916003;89015
2807916004;89015
2807916005;79301
2807916006;61987
2807916007;63531
2807916008;26584
2807916009;23801
2807916011;27968
2807916012;28147
2807916013;39833
2807916014;33398
2807916015;36715
2807916016;36188
2807916017;35550
2807916018;36850
2807916019;36423
2807916020;39617
2807916021;45191
2807916022;38047
2807916024;38573
2807916025;40364
2807916026;28545
2807916027;31918
2807916028;37198
2807916029;30670
2807916030;37434
2807916031;44705
2807916032;47579
2807916033;36496
2807916034;38024
2807916035;46716
2807916036;81210
2807916037;26456
2807916038;33932
2807916039;23538
2807916040;23892
2807916041;24291
2807916042;28662
2807916043;27361
2807916044;38239
2807916045;53702
2807916046;41074
2807916047;29721
2807916048;40295
2807916049;45427
2807916050;35706
2807916051;31470
2807916052;28148
2807916053;27459
2807916054;24955
2807916055;23048
2807916056;24210
2807916057;29062
2807916058;30372
2807916059;34141
2807916060;37587
2807916061;41430
2807916062;35122
2807916063;43555
2807916064;40615
2807916065;25525
2807916066;26865
2807916067;24372
2807916069;31199
2807916070;39513
2807916071;24234
2807916072;22398
2807916073;25229
2807916074;23813
2807916075;27340
2807916076;23004
2807916077;25264
2807916078;25670
2807916079;41341
2807916080;83624
2807916081;51995
2807916082;25261
2807916083;31000
2807916085;33153
2807916086;33698
2807916087;31519
2807916088;34802
2807916089;32391
2807916090;31595
2807916091;89015
2807916092;44212
2807916093;46207
2807916096;49934
2807916097;33281
2807916098;61501
2807916099;48011
2807916100;47198
2807916101;47227
2807916102;89015
2807916103;89015
2807916104;47068
2807916105;79981
2807916106;51736
2807916107;54482
2807916108;58975
2807916109;30758
2807916110;41693
2807916111;56341
2807916112;47329
2807916113;89015
2807916114;60521
2807916115;64885
2807916116;39365
2807916117;47470
2807916118;51394
2807916119;47805
2807916120;41799
2807916121;68901
2807916122;62391
2807916123;89015
2807916124;56132
2807916125;64096
2807917002;24786
2807917003;23816
2807917004;18755
2807917006;23481
2807917007;21877
2807917008;22617
2807917009;24103
2807917010;23528
2807917011;25014
2807917012;24041
2807917013;23130
2807917014;22292
2807917015;22750
2807917016;21915
2807917017;28116
2807917018;20404
2807917019;21397
2807917020;27938
2807917021;21737
2807917022;18821
2807917023;28988
2807917024;22735
2807917025;24651
2807917026;23367
2807917027;29897
2807917028;26144
2807917029;29028
2807917031;20436
2807917032;19272
2807917033;18553
2807917035;18923
2807917036;19899
2807917037;17956
2807917038;21908
2807917039;20377
2807917041;20209
2807917042;19805
2807917043;20714
2807917045;35186
2807917046;23322
2807917047;21237
2807917048;29660
2807917049;21533
2807917050;22655
2807917051;21618
2807917052;26043
2807917053;25099
2807917054;22928
2807917055;29214
2807917057;22342
2807917058;24896
2807917059;27119
2807917060;25074
2807917061;19950
2807917062;21907
2807917063;23545
2807917064;23100
2807917065;22712
2807917066;22451
2807917068;20300
2807917069;24174
2807917070;35829
2807917071;32510
2807917072;20161
2807917073;22435
2807917074;27266
2807917075;30627
2807917076;31073
2807917078;30613
2807917079;21406
2807917080;40357
2807917082;25029
2807917083;23439
2807917084;21988
2807917085;32141
2807917086;30582
2807917087;27173
2807917089;24404
2807917090;27487
2807917091;27299
2807917092;36343
2807917093;31916
2807917094;27281
2807917095;26088
2807917096;36381
2807917097;37779
2807917098;19607
2807917099;39593
2807917100;21633
2807917101;25334
2807917102;40855
2807917103;34148
2807917104;31996
2807917105;33952
2807917106;26007
2807917107;33210
2807917108;38444
2807917109;28413
2807917110;37723
2807917111;27707
2807917112;43286
2807917113;39749
2807917114;34553
2807918002;26712
2807918003;24221
2807918004;25969
2807918005;22260
2807918006;25769
2807918007;25436
2807918008;27535
2807918009;25165
2807918010;21520
2807918011;26686
2807918012;23791
2807918013;24748
2807918014;25622
2807918015;22268
2807918016;22174
2807918017;22741
2807918018;26388
2807918019;25392
2807918020;31732
2807918021;30477
2807918022;20313
2807918023;19536
2807918024;28413
2807918025;35861
2807918026;22970
2807918027;30292
2807918028;40637
2807918029;40968
2807918030;34625
2807918031;36277
2807918032;35183
2807918033;35326
2807918034;35047
2807918035;38057
2807918036;37422
2807918037;25961
2807918038;22695
2807918039;44136
2807918040;47900
2807918041;38430
2807918042;25278
2807918043;27441
2807918044;43032
2807918045;10027
2807918046;23731
2807918047;27488
2807918048;46467
2807918049;41090
2807918050;31858
2807918051;35355
2807918052;30051
2807918053;33212
2807918054;36036
2807918055;34047
2807918056;29192
2807918057;32901
2807918058;34815
2807918059;29950
2807918060;34358
2807918061;39224
2807918062;32767
2807918063;31988
2807918064;31078
2807918065;25343
2807919001;19674
2807919002;30907
2807919003;25898
2807919004;24534
2807919005;25802
2807919006;27042
2807919007;25842
2807919008;24268
2807919009;25938
2807919011;23844
2807919012;26653
2807919014;22744
2807919015;22917
2807919016;22478
2807919018;23801
2807919019;24494
2807919020;25458
2807919021;25789
2807919022;22030
2807919023;23078
2807919024;20962
2807919025;23419
2807919026;23437
2807919027;21659
2807919028;21102
2807919029;22212
2807919032;31021
2807919033;44536
2807919034;40609
2807919035;41302
2807919036;39974
2807919037;44206
2807919038;29559
2807919039;31760
2807919040;44199
2807919041;36649
2807919042;39061
2807919043;43185
2807919044;31759
2807919045;42889
2807919046;40627
2807919047;38612
2807919048;39286
2807919049;37936
2807919050;47032
2807919051;41677
2807920001;29135
2807920002;55025
2807920003;26530
2807920006;25516
2807920007;24056
2807920008;23688
2807920009;29562
2807920010;25907
2807920011;27055
2807920012;20965
2807920013;20993
2807920014;18641
2807920015;19915
2807920016;19828
2807920017;22883
2807920018;19148
2807920019;20901
2807920020;18561
2807920021;20436
2807920022;22230
2807920023;21657
2807920024;20343
2807920025;22329
2807920026;27591
2807920027;28055
2807920028;28026
2807920029;23991
2807920031;21545
2807920032;19600
2807920033;19381
2807920034;19889
2807920035;18952
2807920036;19346
2807920037;27349
2807920038;28584
2807920039;28121
2807920040;29333
2807920041;28691
2807920042;25497
2807920043;26928
2807920044;23949
2807920046;19482
2807920047;21246
2807920048;19005
2807920049;23358
2807920050;21407
2807920051;22183
2807920053;21266
2807920055;46466
2807920056;27123
2807920058;26451
2807920059;25594
2807920062;37588
2807920063;39112
2807920064;36358
2807920065;34517
2807920066;39403
2807920067;49343
2807920068;42440
2807920069;28028
2807920070;27653
2807920071;39004
2807920072;39650
2807920073;23074
2807920074;26385
2807920075;26741
2807920076;27785
2807920077;39723
2807920078;30272
2807920079;23992
2807920080;25489
2807920082;29926
2807920083;29311
2807920084;47594
2807920085;24403
2807920086;30802
2807920087;27113
2807920088;29469
2807920090;42320
2807920091;23387
2807920092;30520
2807920093;44333
2807920095;43426
2807920096;59022
2807920097;47074
2807920098;38666
2807920099;76125
2807920100;31548
2807920101;45982
2807920102;37977
2807920103;43045
2807920104;51811
2807920105;52856
2807920106;41157
2807920107;45634
2807920108;57255
2807920109;32343
2807920110;49355
2807920111;38641
2807920112;42695
2807920113;52459
2807920114;48376
2807920115;41023
2807920116;41360
2807920117;52290
2807920118;56928
2807920119;40797
2807920120;44730
2807920121;35985
2807920122;65377
2807921001;73270
2807921002;60252
2807921003;48440
2807921004;53197
2807921005;73023
2807921006;58857
2807921007;48670
2807921008;40417
2807921009;39192
2807921010;46819
2807921011;48843
2807921012;49552
2807921013;47214
2807921014;48819
2807921015;25366
2807921017;27692
2807921018;27863
2807921019;27432
2807921020;31230
2807921021;31728
2807921022;33960
2807921023;28607
2807921025;56702
2807921026;39613
2807921027;69463
2807921028;56282
2807921029;87587
2807921030;43935
2807921031;44593
2807921032;55101
